time,power
2024-11-23 17:34:30.721499,288
2024-11-23 17:34:35.864950,291
2024-11-23 17:34:40.896590,292
2024-11-23 17:34:45.992127,297
2024-11-23 17:34:51.008759,335
2024-11-23 17:34:56.014351,352
2024-11-23 17:35:01.117970,339
2024-11-23 17:35:05.634065,339
2024-11-23 17:35:10.748620,370
2024-11-23 17:35:15.859993,369
2024-11-23 17:35:20.970667,369
2024-11-23 17:35:26.082876,352
2024-11-23 17:35:30.664278,353
2024-11-23 17:35:35.723756,374
2024-11-23 17:35:40.821342,375
2024-11-23 17:35:45.958796,376
2024-11-23 17:35:51.000391,391
2024-11-23 17:35:53.619534,383
2024-11-23 17:36:00.695012,378
2024-11-23 17:36:05.788555,367
2024-11-23 17:36:10.831125,346
2024-11-23 17:36:15.937642,343
2024-11-23 17:36:20.953080,349
2024-11-23 17:36:26.009882,404
2024-11-23 17:36:31.035467,390
2024-11-23 17:36:36.097016,379
2024-11-23 17:36:41.117708,356
2024-11-23 17:36:45.674789,399
2024-11-23 17:36:50.737406,379
2024-11-23 17:36:55.783897,391
2024-11-23 17:37:00.840518,369
2024-11-23 17:37:05.914034,385
2024-11-23 17:37:11.019194,312
2024-11-23 17:37:16.102159,298
2024-11-23 17:37:20.660256,332
2024-11-23 17:37:25.745877,319
2024-11-23 17:37:30.767422,308
2024-11-23 17:37:35.842942,302
2024-11-23 17:37:40.917535,318
2024-11-23 17:37:46.006104,344
2024-11-23 17:37:51.623058,336
2024-11-23 17:37:55.672720,316
2024-11-23 17:38:00.694337,318
2024-11-23 17:38:05.783914,309
2024-11-23 17:38:10.846442,316
2024-11-23 17:38:15.948948,324
2024-11-23 17:38:20.975624,299
2024-11-23 17:38:25.999337,294
2024-11-23 17:38:31.080942,292
2024-11-23 17:38:36.639041,305
2024-11-23 17:38:40.676792,324
2024-11-23 17:38:45.705300,303
2024-11-23 17:38:50.797812,292
2024-11-23 17:38:55.870379,295
2024-11-23 17:39:00.934946,292
2024-11-23 17:39:06.051102,299
2024-11-23 17:39:11.085039,342
2024-11-23 17:39:16.137651,328
2024-11-23 17:39:25.700400,340
2024-11-23 17:39:28.268635,331
2024-11-23 17:39:32.772792,329
2024-11-23 17:39:37.843456,340
